"","Raumeinheit"
"117","Darmstadt, Stadt"
"118","Frankfurt am Main, Stadt"
"119","Offenbach am Main, Stadt"
"120","Wiesbaden, Stadt"
"121","Bergstraße"
"122","Darmstadt-Dieburg"
"123","Groß-Gerau"
"124","Hochtaunuskreis"
"125","Main-Kinzig-Kreis"
"126","Main-Taunus-Kreis"
"127","Odenwaldkreis"
"128","Offenbach"
"129","Rheingau-Taunus-Kreis"
"130","Wetteraukreis"
"131","Gießen"
"132","Lahn-Dill-Kreis"
"133","Limburg-Weilburg"
"134","Marburg-Biedenkopf"
"135","Vogelsbergkreis"
"136","Kassel, Stadt"
"137","Fulda"
"138","Hersfeld-Rotenburg"
"139","Kassel"
"140","Schwalm-Eder-Kreis"
"141","Waldeck-Frankenberg"
"142","Werra-Meißner-Kreis"
"143","Koblenz, Stadt"
"144","Ahrweiler"
"145","Altenkirchen (Westerwald)"
"146","Bad Kreuznach"
"147","Birkenfeld"
"148","Cochem-Zell"
"149","Mayen-Koblenz"
"150","Neuwied"
"151","Rhein-Hunsrück-Kreis"
"152","Rhein-Lahn-Kreis"
"153","Westerwaldkreis"
"154","Trier, Stadt"
"155","Bernkastel-Wittlich"
"156","Eifelkreis Bitburg-Prüm"
"157","Vulkaneifel"
"158","Trier-Saarburg"
"159","Frankenthal (Pfalz), Stadt"
"160","Kaiserslautern, Stadt"
"161","Landau in der Pfalz, Stadt"
"162","Ludwigshafen am Rhein, Stadt"
"163","Mainz, Stadt"
"164","Neustadt an der Weinstraße, Stadt"
"165","Pirmasens, Stadt"
"166","Speyer, Stadt"
"167","Worms, Stadt"
"168","Zweibrücken, Stadt"
"169","Alzey-Worms"
"170","Bad Dürkheim"
"171","Donnersbergkreis"
"172","Germersheim"
"173","Kaiserslautern"
"174","Kusel"
"175","Südliche Weinstraße"
"176","Rhein-Pfalz-Kreis"
"177","Mainz-Bingen"
"178","Südwestpfalz"
"179","Stuttgart, Stadt"
"180","Böblingen"
"181","Esslingen"
"182","Göppingen"
"183","Ludwigsburg"
"184","Rems-Murr-Kreis"
"185","Heilbronn, Stadt"
"186","Heilbronn"
"187","Hohenlohekreis"
"188","Schwäbisch Hall"
"189","Main-Tauber-Kreis"
"190","Heidenheim"
"191","Ostalbkreis"
"192","Baden-Baden, Stadt"
"193","Karlsruhe, Stadt"
"194","Karlsruhe"
"195","Rastatt"
"196","Heidelberg, Stadt"
"197","Mannheim, Stadt"
"198","Neckar-Odenwald-Kreis"
"199","Rhein-Neckar-Kreis"
"200","Pforzheim, Stadt"
"201","Calw"
"202","Enzkreis"
"203","Freudenstadt"
"204","Freiburg im Breisgau, Stadt"
"205","Breisgau-Hochschwarzwald"
"206","Emmendingen"
"207","Ortenaukreis"
"208","Rottweil"
"209","Schwarzwald-Baar-Kreis"
"210","Tuttlingen"
"211","Konstanz"
"212","Lörrach"
"213","Waldshut"
"214","Reutlingen"
"215","Tübingen"
"216","Zollernalbkreis"
"217","Ulm, Stadt"
"218","Alb-Donau-Kreis"
"219","Biberach"
"220","Bodenseekreis"
"221","Ravensburg"
"222","Sigmaringen"
"223","Ingolstadt, Stadt"
"224","München, Stadt"
"225","Rosenheim, Stadt"
"226","Altötting"
"227","Berchtesgadener Land"
"228","Bad Tölz-Wolfratshausen"
"229","Dachau"
"230","Ebersberg"
"231","Eichstätt"
"232","Erding"
"233","Freising"
"234","Fürstenfeldbruck"
"235","Garmisch-Partenkirchen"
"236","Landsberg am Lech"
"237","Miesbach"
"238","Mühldorf a.Inn"
"239","München"
"240","Neuburg-Schrobenhausen"
"241","Pfaffenhofen a.d.Ilm"
"242","Rosenheim"
"243","Starnberg"
"244","Traunstein"
"245","Weilheim-Schongau"
"246","Landshut, Stadt"
"247","Passau, Stadt"
"248","Straubing, Stadt"
"249","Deggendorf"
"250","Freyung-Grafenau"
"251","Kelheim"
"252","Landshut"
"253","Passau"
"254","Regen"
"255","Rottal-Inn"
"256","Straubing-Bogen"
"257","Dingolfing-Landau"
"258","Amberg, Stadt"
"259","Regensburg, Stadt"
"260","Weiden i.d.OPf., Stadt"
"261","Amberg-Sulzbach"
"262","Cham"
"263","Neumarkt i.d.OPf."
"264","Neustadt a.d.Waldnaab"
"265","Regensburg"
"266","Schwandorf"
"267","Tirschenreuth"
"268","Bamberg, Stadt"
"269","Bayreuth, Stadt"
"270","Coburg, Stadt"
"271","Hof, Stadt"
"272","Bamberg"
"273","Bayreuth"
"274","Coburg"
"275","Forchheim"
"276","Hof"
"277","Kronach"
"278","Kulmbach"
"279","Lichtenfels"
"280","Wunsiedel i.Fichtelgebirge"
"281","Ansbach, Stadt"
"282","Erlangen, Stadt"
"283","Fürth, Stadt"
"284","Nürnberg, Stadt"
"285","Schwabach, Stadt"
"286","Ansbach"
"287","Erlangen-Höchstadt"
"288","Fürth"
"289","Nürnberger Land"
"290","Neustadt a.d.Aisch-Bad Windsheim"
"291","Roth"
"292","Weißenburg-Gunzenhausen"
"293","Aschaffenburg, Stadt"
"294","Schweinfurt, Stadt"
"295","Würzburg, Stadt"
"296","Aschaffenburg"
"297","Bad Kissingen"
"298","Rhön-Grabfeld"
"299","Haßberge"
"300","Kitzingen"
"301","Miltenberg"
"302","Main-Spessart"
"303","Schweinfurt"
"304","Würzburg"
"305","Augsburg, Stadt"
"306","Kaufbeuren, Stadt"
"307","Kempten (Allgäu), Stadt"
"308","Memmingen, Stadt"
"309","Aichach-Friedberg"
"310","Augsburg"
"311","Dillingen a.d.Donau"
"312","Günzburg"
"313","Neu-Ulm"
"314","Lindau (Bodensee)"
"315","Ostallgäu"
"316","Unterallgäu"
"317","Donau-Ries"
"318","Oberallgäu"
"319","Regionalverband Saarbrücken"
"320","Merzig-Wadern"
"321","Neunkirchen"
"322","Saarlouis"
"323","Saarpfalz-Kreis"
"324","St. Wendel"
"325","Berlin, Stadt"
"326","Brandenburg an der Havel, Stadt"
"327","Cottbus, Stadt"
"328","Frankfurt (Oder), Stadt"
"329","Potsdam, Stadt"
"330","Barnim"
"331","Dahme-Spreewald"
"332","Elbe-Elster"
"333","Havelland"
"334","Märkisch-Oderland"
"335","Oberhavel"
"336","Oberspreewald-Lausitz"
"337","Oder-Spree"
"338","Ostprignitz-Ruppin"
"339","Potsdam-Mittelmark"
"340","Prignitz"
"341","Spree-Neiße"
"342","Teltow-Fläming"
"343","Uckermark"
"344","Rostock, Stadt"
"345","Schwerin, Stadt"
"346","Mecklenburgische Seenplatte"
"347","Landkreis Rostock"
"348","Vorpommern-Rügen"
"349","Nordwestmecklenburg"
"350","Vorpommern-Greifswald"
"351","Ludwigslust-Parchim"
"352","Chemnitz, Stadt"
"353","Erzgebirgskreis"
"354","Mittelsachsen"
"355","Vogtlandkreis"
"356","Zwickau"
"357","Dresden, Stadt"
"358","Bautzen"
"359","Görlitz"
"360","Meißen"
"361","Sächsische Schweiz-Osterzgebirge"
"362","Leipzig, Stadt"
"363","Leipzig"
"364","Nordsachsen"
"365","Dessau-Roßlau, Stadt"
"366","Halle (Saale), Stadt"
"367","Magdeburg, Stadt"
"368","Altmarkkreis Salzwedel"
"369","Anhalt-Bitterfeld"
"370","Börde"
"371","Burgenlandkreis"
"372","Harz"
"373","Jerichower Land"
"374","Mansfeld-Südharz"
"375","Saalekreis"
"376","Salzlandkreis"
"377","Stendal"
"378","Wittenberg"
"379","Erfurt, Stadt"
"380","Gera, Stadt"
"381","Jena, Stadt"
"382","Suhl, Stadt"
"383","Weimar, Stadt"
"384","Eisenach, Stadt"
"385","Eichsfeld"
"386","Nordhausen"
"387","Wartburgkreis"
"388","Unstrut-Hainich-Kreis"
"389","Kyffhäuserkreis"
"390","Schmalkalden-Meiningen"
"391","Gotha"
"392","Sömmerda"
"393","Hildburghausen"
"394","Ilm-Kreis"
"395","Weimarer Land"
"396","Sonneberg"
"397","Saalfeld-Rudolstadt"
"398","Saale-Holzland-Kreis"
"399","Saale-Orla-Kreis"
"400","Greiz"
"401","Altenburger Land"
